Manufactures Representative,,2026 Brazalo Custom Lures Wholesaler List and Pricing                      , Mfg. , 2026 Brazalo,,,,,,,,,,,,,,,,,,,,
"Brazalo Custom Lures 
407 Calloway Ave Sherwood, AR 72120 
PH: (501) 681-6130 
 
 
 ",,,,,,,,,,,,,,,,,,,,,,,,
,,, Sales Person,Danny,,,,,,,,,,,,,,,,,,,,
,,**SEND ALL PO'S to brazalo.customlures@gmail.com**, PO Number,,,,,,,,,,,,,,,,,,,,,
,,, Order Date,,,,,,,,,,,,,,,,,,,,,
Retailer Name,,, Mfg. Terms,,,,,,,,,,,,,,,,,,,,,
Contact Person,,, Ship Date,,,,,,,,,,,,,,,,,,,,,
"Billing  - Address, Cty,St,Zip",,, PO TOTAL, $-   ,,,,,,,,,,,,,,,,,,,,
"Shipping  - Address, Cty,St,Zip",,, Newest Product Items,,,,,,,,,,,,,,,,,,,,,
Retailer Email,,,,,,,,,,,,,,,,,,,,,,,,
Retailer Phone,,,Discontinued Items,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,NEW 2026 PRICE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Order Qty,Model #,Description,Per Unit Price,Extended Price,MAP,MSRP,UPC,,,,,,,,,,,,,,,,,
, ,Swim Jigs,,,MAP,MSRP,,,,,,,,,,,,,,,,,,
,SWM-01,3/8 oz Green Pumpkin Swim Jig,$3.00, $-   ,$4.15,$4.99,709402354543,,,,,,,,,,,,,,,,,
,SWM-02,1/2 oz Green Pumpkin Swim Jig,$3.00, $-   ,$4.15,$4.99,709402354529,,,,,,,,,,,,,,,,,
,SWM-03,3/8 oz White Swim Jig,$3.00, $-   ,$4.15,$4.99,709402354796,,,,,,,,,,,,,,,,,
,SWM-04,1/2 oz White Swim JIg,$3.00, $-   ,$4.15,$4.99,709402354888,,,,,,,,,,,,,,,,,
,SWM-05,3/8 oz Bama Bream Swim JIg,$3.00, $-   ,$4.15,$4.99,709402354895,,,,,,,,,,,,,,,,,
,SWM-06,1/2 oz Bama Bream Swim Jig,$3.00, $-   ,$4.15,$4.99,709402354932,,,,,,,,,,,,,,,,,
,SWM-07,3/8 oz Bream Swim Jig,$3.00, $-   ,$4.15,$4.99,709402355076,,,,,,,,,,,,,,,,,
,SWM-08,1/2 oz Bream Swim Jig,$3.00, $-   ,$4.15,$4.99,709402354901,,,,,,,,,,,,,,,,,
,SWM-09,3/8 oz Bluegill Swim Jig,$3.00, $-   ,$4.15,$4.99,709402355083,,,,,,,,,,,,,,,,,
,SWM-10,1/2 oz Bluegill Swim Jig,$3.00, $-   ,$4.15,$4.99,709402355090,,,,,,,,,,,,,,,,,
,SWM-11,3/8 oz Black n Blue Swim Jig,$3.00, $-   ,$4.15,$4.99,709402355113,,,,,,,,,,,,,,,,,
,SWM-12,1/2 oz Black n Blue Swim Jig,$3.00, $-   ,$4.15,$4.99,709402355120,,,,,,,,,,,,,,,,,
,SWM-16,3/8 oz Bone Swim Jig,$3.00, $-   ,$4.15,$4.99,709402355175,,,,,,,,,,,,,,,,,
,SWM-17,1/2 oz Bone Swim Jig,$3.00, $-   ,$4.15,$4.99,709402355250 ,,,,,,,,,,,,,,,,,
,SWM-18,3/8 oz Morning Dawn Swim Jig,$3.00, $-   ,$4.15,$4.99,709402355298,,,,,,,,,,,,,,,,,
,SWM-19,1/2 oz Morning Dawn Swim Jig,$3.00, $-   ,$4.15,$4.99,709402355144 ,,,,,,,,,,,,,,,,,
,SWM-20,3/8 oz Peachy Swim Jig,$3.00, $-   ,$4.15,$4.99,709402355328,,,,,,,,,,,,,,,,,
,SWM-21,1/2 oz Peachy Swim Jig,$3.00, $-   ,$4.15,$4.99,709402355335,,,,,,,,,,,,,,,,,
,SWM-22,3/8 oz Citrus Shad Swim Jig,$3.00, $-   ,$4.15,$4.99,709402355359,,,,,,,,,,,,,,,,,
,SWM-23,1/2 oz Citrus Shad Swim Jig,$3.00, $-   ,$4.15,$4.99,709402355410 ,,,,,,,,,,,,,,,,,
,SWM-24,3/8 oz GP Shad Swim Jig,$3.00, $-   ,$4.15,$4.99,709402355441,,,,,,,,,,,,,,,,,
,SWM-25 ,1/2 oz GP Shad Swim Jig,$3.00, $-   ,$4.15,$4.99,709402355472,,,,,,,,,,,,,,,,,
,SWM-26,3/8 oz Arkansas Shiner Swim Jig,$3.00, $-   ,$4.15,$4.99,709402355502,,,,,,,,,,,,,,,,,
,SWM-27,1/2 oz Arkansas Shiner Swim Jig,$3.00, $-   ,$4.15,$4.99,709402355519,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 , ,Football Jigs,,,MAP,MSRP,,,,,,,,,,,,,,,,,,
,FTBL-01,1/2 oz PB&J football jig,$3.00, $-   ,$4.19 ,$4.99 ,709402354314,,,,,,,,,,,,,,,,,
,FTBL-02,3/4 oz PB&J football jig,$3.00, $-   ,$4.19 ,$4.99 ,709402355915,,,,,,,,,,,,,,,,,
,FTBL-03,1/2 oz Perfect Creeper football jig,$3.00, $-   ,$4.19 ,$4.99 ,709402354789,,,,,,,,,,,,,,,,,
,FTBL-04,3/4 oz Perfect Creeper football jig,$3.00, $-   ,$4.19 ,$4.99 ,709402355953,,,,,,,,,,,,,,,,,
,FTBL-05,1/2 oz Black n Blue football jig,$3.00, $-   ,$4.19 ,$4.99 ,709402355045,,,,,,,,,,,,,,,,,
,FTBL-06,3/4 oz Black n Blue football jig,$3.00, $-   ,$4.19 ,$4.99 ,709402355977,,,,,,,,,,,,,,,,,
,FTBL-07,1/2 oz Green Pumpkin football jig,$3.00, $-   ,$4.19 ,$4.99 ,709402354772,,,,,,,,,,,,,,,,,
,FTBL-08,3/4 oz Green Pumpkin football jig,$3.00, $-   ,$4.19 ,$4.99 ,709402355960,,,,,,,,,,,,,,,,,
,FTBL-09,1/2 oz Rotten Watermelon football jig,$3.00, $-   ,$4.19 ,$4.99 ,709402354802,,,,,,,,,,,,,,,,,
,FTBL-10,3/4 oz Rotten Watermelon football jig,$3.00, $-   ,$4.19 ,$4.99 ,709402357278,,,,,,,,,,,,,,,,,
,FTBL-11,1/2 oz Green Pumpkin Orange football jig,$3.00, $-   ,$4.19 ,$4.99 ,709402354574,,,,,,,,,,,,,,,,,
,FTBL-12,3/4 oz Green Pumpkin Orange football jig,$3.00, $-   ,$4.19 ,$4.99 ,709402356035,,,,,,,,,,,,,,,,,
,FTBL-17,1/2 oz Phantom Craw football jig,$3.00, $-   ,$4.19 ,$4.99 ,709402355205,,,,,,,,,,,,,,,,,
,FTBL-18,3/4 oz Phantom Craw football jig,$3.00, $-   ,$4.19 ,$4.99 ,709402356028,,,,,,,,,,,,,,,,,
,FTBL-19,1/2 oz Camo Craw Red football jig,$3.00, $-   ,$4.19 ,$4.99 ,709402354673,,,,,,,,,,,,,,,,,
,FTBL-20,3/4 oz Camo Craw Red football jig,$3.00, $-   ,$4.19 ,$4.99 ,709402356066,,,,,,,,,,,,,,,,,
,FTBL-23,1/2 oz Camo Craw Orange football jig,$3.00, $-   ,$4.19 ,$4.99 ,709402354345,,,,,,,,,,,,,,,,,
,FTBL-24,3/4 oz Camo Craw Orange football jig,$3.00, $-   ,$4.19 ,$4.99 ,709402356011,,,,,,,,,,,,,,,,,
,FTBL-25,1/2 oz Sour Grape football jig,$3.00, $-   ,$4.19 ,$4.99 ,709402356271,,,,,,,,,,,,,,,,,
,FTBL-26,3/4 oz Sour Grape football jig,$3.00, $-   ,$4.19 ,$4.99 ,709402356288,,,,,,,,,,,,,,,,,
,FTBL-27,1/2 oz South African Special football jig,$3.00, $-   ,$4.19 ,$4.99 ,709402357254,,,,,,,,,,,,,,,,,
,FTBL-28,3/4 oz South African Special football jig,$3.00, $-   ,$4.19 ,$4.99 ,709402357261,,,,,,,,,,,,,,,,,
,FTBL-29,1/2 oz Westrock Crawler football jig,$3.00, $-   ,$4.19 ,$4.99 ,709402357377,,,,,,,,,,,,,,,,,
,FTBL-30,3/4 oz Westrock Crawler football jig,$3.00, $-   ,$4.19 ,$4.99 ,709402357384,,,,,,,,,,,,,,,,,
,FTBL-33,1/2 oz Watermelon Red football jig,$3.00, $-   ,$4.19 ,$4.99 ,709402358084,,,,,,,,,,,,,,,,,
,FTBL-34,3/4 oz Watermelon Red football jig,$3.00, $-   ,$4.19 ,$4.99 ,709402358091,,,,,,,,,,,,,,,,,
,FBTL-35,1/2 oz Watermelon Candy football jig,$3.00, $-   ,$4.19 ,$4.99 ,709402358060,,,,,,,,,,,,,,,,,
,FTBL-36,3/4 oz Watermelon Candy football jig,$3.00, $-   ,$4.19 ,$4.99 ,709402358077,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Flat Out Jig,,,,,,,,,,,,,,,,,,,,,,
,FLOJ-04,3/8 oz JuneBug Flat out jig,$3.00, $-   ,$0.00 ,$4.99 ,709402358671,,,,,,,,,,,,,,,,,
,FLOJ-05,1/2 oz JuneBug Flat Out Jig,$3.00, $-   ,$0.00 ,$4.99 ,709402358688,,,,,,,,,,,,,,,,,
,FLOJ-06,3/4 oz Junebug Flat Out jig,$3.00, $-   ,$0.00 ,$4.99 ,709402358701,,,,,,,,,,,,,,,,,
,FLOJ-07,3/8 oz Blue Grass Flat Out jig,$3.00, $-   ,$0.00 ,$4.99 ,709402358749,,,,,,,,,,,,,,,,,
,FLOJ-08,1/2 oz Blue Grass Flat Out jig,$3.00, $-   ,$0.00 ,$4.99 ,709402358756,,,,,,,,,,,,,,,,,
,FLOJ-09,3/4 oz Blue Grass Flat Out jig,$3.00, $-   ,$0.00 ,$4.99 ,709402358763,,,,,,,,,,,,,,,,,
,FLOJ-10,3/8 oz Black n Blue Flat Out jig,$3.00, $-   ,$0.00 ,$4.99 ,709402358565,,,,,,,,,,,,,,,,,
,FLOJ-11,1/2 oz Black n Blue Flat Out Jig,$3.00, $-   ,$0.00 ,$4.99 ,709402358572,,,,,,,,,,,,,,,,,
,FLOJ-12,3/4 oz Black n Blue Flat Out jig,$3.00, $-   ,$0.00 ,$4.99 ,709402358589,,,,,,,,,,,,,,,,,
,FLOJ-13,3/8 oz Perfect Creeper Flat Out jig,$3.00, $-   ,$0.00 ,$4.99 ,709402358718,,,,,,,,,,,,,,,,,
,FLOJ-14,1/2 oz Perfect Creeper Flat Out jig,$3.00, $-   ,$0.00 ,$4.99 ,709402358725,,,,,,,,,,,,,,,,,
,FLOJ-15,3/4 oz Perfect Creeper Flat Out jig,$3.00, $-   ,$0.00 ,$4.99 ,709402358732,,,,,,,,,,,,,,,,,
,FLOJ-19,3/8 oz Delta Bug Flat Out jig,$3.00, $-   ,$0.00 ,$4.99 ,709402358183,,,,,,,,,,,,,,,,,
,FLOJ-20,1/2 oz Delta Bug Flat Out jig,$3.00, $-   ,$0.00 ,$4.99 ,709402358190,,,,,,,,,,,,,,,,,
,FLOJ-21,3/4 oz Delta Bug Flat Out jig,$3.00, $-   ,$0.00 ,$4.99 ,709402358602,,,,,,,,,,,,,,,,,
,FLOJ-22,3/8 oz Slumpbuster Flat Out jig,$3.00, $-   ,$0.00 ,$4.99 ,709402358664,,,,,,,,,,,,,,,,,
,FLOJ-23,1/2 oz Slumpbuster Flat Out jig,$3.00, $-   ,$0.00 ,$4.99 ,709402358381,,,,,,,,,,,,,,,,,
,FLOJ-24,3/4 oz Slumpbuster Flat Out jig,$3.00, $-   ,$0.00 ,$4.99 ,709402358695,,,,,,,,,,,,,,,,,
,FLOJ-25,3/8 oz Diamond Craw Flat Out jig,$3.00, $-   ,$0.00 ,$4.99 ,709402358206,,,,,,,,,,,,,,,,,
,FLOJ-26,1/2 oz Diamond Craw Flat Out jig,$3.00, $-   ,$0.00 ,$4.99 ,709402358213,,,,,,,,,,,,,,,,,
,FLOJ-27,3/4 oz Diamond Craw Flat Out jig,$3.00, $-   ,$0.00 ,$4.99 ,709402358534,,,,,,,,,,,,,,,,,
,FLOJ-28,3/8 oz Watermelon Candy Flat Out jig,$3.00, $-   ,$0.00 ,$4.99 ,709402358145,,,,,,,,,,,,,,,,,
,FLOJ-29,1/2 oz Watermelon Candy Flat Out jig,$3.00, $-   ,$0.00 ,$4.99 ,709402358152,,,,,,,,,,,,,,,,,
